Date,Sales
2013-01-01,4220
2013-01-02,6069
2013-01-03,5246
2013-01-04,5339
2013-01-05,5774
2013-01-06,10509
2013-01-07,8990
2013-01-08,7300
2013-01-09,6523
2013-01-10,7434
2013-01-11,7132
2013-01-12,5198
2013-01-13,10584
2013-01-14,5616
2013-01-15,5580
2013-01-16,5025
2013-01-17,4973
2013-01-18,5579
2013-01-19,5440
2013-01-20,11390
2013-01-21,8065
2013-01-22,6767
2013-01-23,7495
2013-01-24,6768
2013-01-25,6672
2013-01-26,6010
2013-01-27,7522
2013-01-28,5284
2013-01-29,5100
2013-01-30,5050
2013-01-31,6358
2013-02-01,5967
2013-02-02,6180
2013-02-03,13302
2013-02-04,8018
2013-02-05,7305
2013-02-06,7125
2013-02-07,6621
2013-02-08,6251
2013-02-09,5802
2013-02-10,11899
2013-02-11,5376
2013-02-12,5073
2013-02-13,5121
2013-02-14,5417
2013-02-15,5494
2013-02-16,5275
2013-02-17,11931
2013-02-18,8467
2013-02-19,7169
2013-02-20,7162
2013-02-21,6870
2013-02-22,7092
2013-02-23,5349
2013-02-24,10245
2013-02-25,5187
2013-02-26,4786
2013-02-27,5374
2013-02-28,5970
2013-03-01,6052
2013-03-02,6374
2013-03-03,13081
2013-03-04,8860
2013-03-05,7592
2013-03-06,7161
2013-03-07,6910
2013-03-08,6426
2013-03-09,5099
2013-03-10,10462
2013-03-11,5518
2013-03-12,5326
2013-03-13,4816
2013-03-14,5073
2013-03-15,5869
2013-03-16,5641
2013-03-17,12923
2013-03-18,8473
2013-03-19,6945
2013-03-20,6704
2013-03-21,6341
2013-03-22,6623
2013-03-23,5759
2013-03-24,11431
2013-03-25,8338
2013-03-26,7629
2013-03-27,7561
2013-03-28,9112
2013-03-29,13583
2013-03-30,6928
2013-03-31,8929
2013-04-01,12129
2013-04-02,6012
2013-04-03,5590
2013-04-04,5364
2013-04-05,5486
2013-04-06,5218
2013-04-07,10308
2013-04-08,8193
2013-04-09,6994
2013-04-10,6555
2013-04-11,6295
2013-04-12,7203
2013-04-13,5347
2013-04-14,10214
2013-04-15,5492
2013-04-16,5075
2013-04-17,5223
2013-04-18,4782
2013-04-19,5422
2013-04-20,5313
2013-04-21,11263
2013-04-22,8722
2013-04-23,6862
2013-04-24,6841
2013-04-25,7082
2013-04-26,6431
2013-04-27,4875
2013-04-28,11625
2013-04-29,8667
2013-04-30,8923
2013-05-01,11035
2013-05-02,7578
2013-05-03,7118
2013-05-04,5849
2013-05-05,7796
2013-05-06,5864
2013-05-07,6106
2013-05-08,6684
2013-05-09,11502
2013-05-10,6306
2013-05-11,5950
2013-05-12,11219
2013-05-13,8478
2013-05-14,7241
2013-05-15,7518
2013-05-16,6641
2013-05-17,6717
2013-05-18,6214
2013-05-19,11092
2013-05-20,13493
2013-05-21,6595
2013-05-22,6162
2013-05-23,5538
2013-05-24,6020
2013-05-25,6197
2013-05-26,12705
2013-05-27,8611
2013-05-28,7450
2013-05-29,6591
2013-05-30,7108
2013-05-31,8456
2013-06-01,6182
2013-06-02,13478
2013-06-03,8938
2013-06-04,7130
2013-06-05,6302
2013-06-06,7179
2013-06-07,6800
2013-06-08,5338
2013-06-09,11667
2013-06-10,5581
2013-06-11,5419
2013-06-12,5423
2013-06-13,5314
2013-06-14,5701
2013-06-15,5393
2013-06-16,13986
2013-06-17,8475
2013-06-18,8273
2013-06-19,7715
2013-06-20,6442
2013-06-21,6728
2013-06-22,6071
2013-06-23,13647
2013-06-24,4998
2013-06-25,5385
2013-06-26,5683
2013-06-27,5854
2013-06-28,6708
2013-06-29,6587
2013-06-30,14016
2013-07-01,9180
2013-07-02,8255
2013-07-03,7238
2013-07-04,6630
2013-07-05,6344
2013-07-06,4684
2013-07-07,11606
2013-07-08,6070
2013-07-09,5183
2013-07-10,5408
2013-07-11,5292
2013-07-12,5181
2013-07-13,5237
2013-07-14,13010
2013-07-15,7953
2013-07-16,7077
2013-07-17,6551
2013-07-18,6355
2013-07-19,5770
2013-07-20,5218
2013-07-21,10880
2013-07-22,5489
2013-07-23,5092
2013-07-24,4980
2013-07-25,5110
2013-07-26,5014
2013-07-27,4897
2013-07-28,10728
2013-07-29,8098
2013-07-30,8045
2013-07-31,7975
2013-08-01,7052
2013-08-02,6719
2013-08-03,5481
2013-08-04,14538
2013-08-05,5905
2013-08-06,5675
2013-08-07,5200
2013-08-08,5240
2013-08-09,5428
2013-08-10,5362
2013-08-11,12382
2013-08-12,8656
2013-08-13,7823
2013-08-14,7602
2013-08-15,7106
2013-08-16,6991
2013-08-17,4496
2013-08-18,11884
2013-08-19,5726
2013-08-20,5349
2013-08-21,5042
2013-08-22,4855
2013-08-23,5267
2013-08-24,4829
2013-08-25,11306
2013-08-26,8885
2013-08-27,6598
2013-08-28,7139
2013-08-29,6156
2013-08-30,7207
2013-08-31,5582
2013-09-01,13706
2013-09-02,5734
2013-09-03,5227
2013-09-04,5602
2013-09-05,5223
2013-09-06,5242
2013-09-07,5428
2013-09-08,8383
2013-09-09,7959
2013-09-10,7756
2013-09-11,6800
2013-09-12,6439
2013-09-13,6417
2013-09-14,4951
2013-09-15,12193
2013-09-16,5575
2013-09-17,4940
2013-09-18,4560
2013-09-19,4656
2013-09-20,4949
2013-09-21,4374
2013-09-22,7317
2013-09-23,7262
2013-09-24,6893
2013-09-25,6959
2013-09-26,6629
2013-09-27,6565
2013-09-28,5088
2013-09-29,13267
2013-09-30,6269
2013-10-01,6191
2013-10-02,6623
2013-10-03,13297
2013-10-04,5905
2013-10-05,4823
2013-10-06,9289
2013-10-07,7854
2013-10-08,6135
2013-10-09,6001
2013-10-10,6329
2013-10-11,6373
2013-10-12,5272
2013-10-13,12038
2013-10-14,5194
2013-10-15,4895
2013-10-16,5261
2013-10-17,5178
2013-10-18,5117
2013-10-19,4906
2013-10-20,7310
2013-10-21,7494
2013-10-22,6159
2013-10-23,6317
2013-10-24,5822
2013-10-25,6328
2013-10-26,4680
2013-10-27,11363
2013-10-28,5697
2013-10-29,4843
2013-10-30,5698
2013-10-31,5860
2013-11-01,6032
2013-11-02,5588
2013-11-03,8226
2013-11-04,8776
2013-11-05,7795
2013-11-06,7105
2013-11-07,6578
2013-11-08,6459
2013-11-09,5046
2013-11-10,11525
2013-11-11,5639
2013-11-12,5165
2013-11-13,5327
2013-11-14,5330
2013-11-15,5804
2013-11-16,5985
2013-11-17,13629
2013-11-18,8466
2013-11-19,7868
2013-11-20,7044
2013-11-21,6815
2013-11-22,7078
2013-11-23,5316
2013-11-24,13413
2013-11-25,6360
2013-11-26,5558
2013-11-27,6521
2013-11-28,6535
2013-11-29,6406
2013-11-30,6838
2013-12-01,13087
2013-12-02,9272
2013-12-03,8591
2013-12-04,7979
2013-12-05,9177
2013-12-06,6823
2013-12-07,6015
2013-12-08,7815
2013-12-09,5781
2013-12-10,5777
2013-12-11,6010
2013-12-12,5560
2013-12-13,5714
2013-12-14,6264
2013-12-15,13491
2013-12-16,11113
2013-12-17,9498
2013-12-18,8347
2013-12-19,8730
2013-12-20,8917
2013-12-21,7667
2013-12-22,8094
2013-12-23,8274
2013-12-24,3215
2013-12-25,6138
2013-12-26,8513
2013-12-27,6064
2013-12-28,6061
2013-12-29,12800
2013-12-30,8031
2013-12-31,5324
2014-01-01,4184
2014-01-02,6218
2014-01-03,5851
2014-01-04,6098
2014-01-05,10465
2014-01-06,8393
2014-01-07,7818
2014-01-08,7448
2014-01-09,6162
2014-01-10,7242
2014-01-11,5028
2014-01-12,11480
2014-01-13,5799
2014-01-14,5545
2014-01-15,4770
2014-01-16,4378
2014-01-17,5700
2014-01-18,5541
2014-01-19,11008
2014-01-20,7413
2014-01-21,6791
2014-01-22,6641
2014-01-23,6546
2014-01-24,7044
2014-01-25,4976
2014-01-26,7483
2014-01-27,5161
2014-01-28,5490
2014-01-29,5333
2014-01-30,4734
2014-01-31,7343
2014-02-01,5911
2014-02-02,12576
2014-02-03,8903
2014-02-04,7235
2014-02-05,7107
2014-02-06,6754
2014-02-07,6338
2014-02-08,4890
2014-02-09,11567
2014-02-10,5110
